benchmark,instance,result,time,accuracy,timesteps,b_degree,gamma,lambda,solver,sos_overall,barrier
LALO20,W001,1,1.2772,,,2,19.483227348371198,21.398374244439978,mosek,clean,0.317489864178029*x0**2 + (-0.416421238274561*x0 + 0.69760788355735*x1)**2 + (0.124534561429186*x0 - 0.0928994122544136*x1 + 1.04907635902523*x2)**2 + (-0.143753732981603*x0 - 0.105437347096253*x1 + 0.142770570891514*x2 + 1.2273186987072*x3)**2 + (-0.24826076943907*x0 + 0.058481738945902*x1 - 0.189343068181752*x2 - 0.00654409146078167*x3 + 1.00269955370179*x4)**2 + (0.0793232667621469*x0 - 0.0752339879231583*x1 + 0.219443206104558*x2 + 0.224213560780008*x3 - 0.0309806035180189*x4 + 0.529969662898833*x5)**2 + (0.108844002220934*x0 - 0.228081612746294*x1 + 0.265739580777535*x2 + 0.367010224238813*x3 + 0.0115980079854639*x4 + 0.359851903941281*x5 + 0.964941376085509*x6)**2 + (-0.284181755611681*x0 - 0.345053449489426*x1 - 0.131479264547591*x2 - 0.109527562197214*x3 - 0.665720662271539*x4 + 0.0947326377615967*x5 + 0.130224753479024*x6 + 1.70438584271906)**2
LALO20,W005,1,1.2509,,,2,19.68271402033054,21.59872760213691,mosek,clean,0.317008796380857*x0**2 + (-0.417180233822112*x0 + 0.697959266728593*x1)**2 + (0.124128844424416*x0 - 0.0931002968717216*x1 + 1.04878747357644*x2)**2 + (-0.145594904386024*x0 - 0.105286158328813*x1 + 0.140117636590332*x2 + 1.23139385977386*x3)**2 + (-0.24850374123839*x0 + 0.0582109932389803*x1 - 0.190078629061333*x2 - 0.00932461816676848*x3 + 1.00289995086664*x4)**2 + (0.0789970269494683*x0 - 0.0753897333608434*x1 + 0.218723776995968*x2 + 0.223936087819353*x3 - 0.0313676886952793*x4 + 0.530005118962375*x5)**2 + (0.108487139530937*x0 - 0.227679042626405*x1 + 0.26383583355782*x2 + 0.365955454731506*x3 + 0.0110573196315645*x4 + 0.359253285856053*x5 + 0.964044552362769*x6)**2 + (-0.285625942854949*x0 - 0.345439190284111*x1 - 0.132702117393351*x2 - 0.113434498700737*x3 - 0.666787164886294*x4 + 0.0941802190842951*x5 + 0.129375126679337*x6 + 1.708325224304)**2
LALO20,W01,1,1.2871,,,2,19.812762122740963,22.130981637344583,mosek,clean,0.305179323443664*x0**2 + (-0.415449014098582*x0 + 0.687592320879037*x1)**2 + (0.119021629966436*x0 - 0.0800988354894188*x1 + 1.04193354632789*x2)**2 + (-0.161201993833426*x0 - 0.139002202955696*x1 + 0.150509819860099*x2 + 1.21366307065275*x3)**2 + (-0.249613164744247*x0 + 0.0558298000102758*x1 - 0.193149650780345*x2 - 0.026191762742332*x3 + 0.984741158631725*x4)**2 + (0.0753264558903852*x0 - 0.0776513444675393*x1 + 0.22113032189566*x2 + 0.216234883327822*x3 - 0.0320229000024074*x4 + 0.528903526645393*x5)**2 + (0.10204830102664*x0 - 0.228448219177214*x1 + 0.269351433665009*x2 + 0.362623029166846*x3 + 0.00644213090336294*x4 + 0.357178169701513*x5 + 0.959501206408322*x6)**2 + (-0.280295435870121*x0 - 0.32554910384522*x1 - 0.144994245166808*x2 - 0.124743926730068*x3 - 0.662209522248441*x4 + 0.0908063263757401*x5 + 0.119962160691939*x6 + 1.70917404465914)**2
CVDP23,b_unc_ft,1,466.06,,,,,,,,
CVDP23,b1_ft,1,153.8,,,,,,,,
